COD_REGIAO;COD_UF;COD_MUNICIPIO;COD_UFMUN
2;21;06904;2106904
2;21;07001;2107001
2;21;07100;2107100
2;21;07209;2107209
2;21;07258;2107258
2;21;07308;2107308
2;21;07357;2107357
2;21;07407;2107407
2;21;07456;2107456
2;21;07506;2107506
2;21;07605;2107605
2;21;07704;2107704
2;21;07803;2107803
2;21;07902;2107902
2;21;08009;2108009
2;21;08058;2108058
2;21;08108;2108108
2;21;08207;2108207
2;21;08256;2108256
2;21;08306;2108306
2;21;08405;2108405
2;21;08454;2108454
2;21;08504;2108504
2;21;08603;2108603
2;21;08702;2108702
2;21;08801;2108801
2;21;08900;2108900
2;21;09007;2109007
2;21;09056;2109056
2;21;09106;2109106
2;21;09205;2109205
2;21;09239;2109239
2;21;09270;2109270
2;21;09304;2109304
2;21;09403;2109403
2;21;09452;2109452
2;21;09502;2109502
2;21;09551;2109551
2;21;09601;2109601
2;21;09700;2109700
2;21;09759;2109759
2;21;09809;2109809
2;21;09908;2109908
2;21;10005;2110005
2;21;10039;2110039
2;21;10104;2110104
2;21;10203;2110203
2;21;10237;2110237
2;21;10278;2110278
2;21;10302;2110302
2;21;10401;2110401
2;21;10500;2110500
2;21;10609;2110609
2;21;10658;2110658
2;21;10708;2110708
2;21;10807;2110807
2;21;10856;2110856
2;21;10906;2110906
2;21;11003;2111003
2;21;11029;2111029
2;21;11052;2111052
2;21;11078;2111078
2;21;11102;2111102
2;21;11201;2111201
2;21;11250;2111250
2;21;11300;2111300
2;21;11409;2111409
2;21;11508;2111508
2;21;11532;2111532
2;21;11573;2111573
2;21;11607;2111607
2;21;11631;2111631
2;21;11672;2111672
2;21;11706;2111706
2;21;11722;2111722
2;21;11748;2111748
2;21;11763;2111763
2;21;11789;2111789
2;21;11805;2111805
2;21;11904;2111904
2;21;11953;2111953
2;21;12001;2112001
2;21;12100;2112100
2;21;12209;2112209
2;21;12233;2112233
2;21;12274;2112274
2;21;12308;2112308
2;21;12407;2112407
2;21;12456;2112456
2;21;12506;2112506
2;21;12605;2112605
2;21;12704;2112704
2;21;12803;2112803
2;21;12852;2112852
2;21;12902;2112902
2;21;13009;2113009
2;21;14007;2114007
2;22;00053;2200053
2;22;00103;2200103
2;22;00202;2200202
2;22;00251;2200251
2;22;00277;2200277
2;22;00301;2200301
2;22;00400;2200400
2;22;00459;2200459
2;22;00509;2200509
2;22;00608;2200608
2;22;00707;2200707
2;22;00806;2200806
2;22;00905;2200905
2;22;00954;2200954
2;22;01002;2201002
2;22;01051;2201051
2;22;01101;2201101
2;22;01150;2201150
2;22;01176;2201176
2;22;01200;2201200
2;22;01309;2201309
2;22;01408;2201408
2;22;01507;2201507
2;22;01556;2201556
2;22;01572;2201572
2;22;01606;2201606
2;22;01705;2201705
2;22;01739;2201739
2;22;01770;2201770
2;22;01804;2201804
2;22;01903;2201903
2;22;01919;2201919
2;22;01929;2201929
2;22;01945;2201945
2;22;01960;2201960
2;22;01988;2201988
2;22;02000;2202000
2;22;02026;2202026
2;22;02059;2202059
2;22;02075;2202075
2;22;02083;2202083
2;22;02091;2202091
2;22;02109;2202109
2;22;02117;2202117
2;22;02133;2202133
2;22;02174;2202174
2;22;02208;2202208
2;22;02251;2202251
2;22;02307;2202307
2;22;02406;2202406
2;22;02455;2202455
2;22;02505;2202505
2;22;02539;2202539
2;22;02554;2202554
2;22;02604;2202604
2;22;02653;2202653
2;22;02703;2202703
2;22;02711;2202711
2;22;02729;2202729
2;22;02737;2202737
2;22;02752;2202752
2;22;02778;2202778
2;22;02802;2202802
2;22;02851;2202851
2;22;02901;2202901
2;22;03008;2203008
2;22;03107;2203107
2;22;03206;2203206
2;22;03230;2203230
2;22;03271;2203271
2;22;03255;2203255
2;22;03305;2203305
2;22;03354;2203354
2;22;03404;2203404
2;22;03453;2203453
2;22;03420;2203420
2;22;03503;2203503
2;22;03602;2203602
2;22;03701;2203701
2;22;03750;2203750
2;22;03800;2203800
2;22;03859;2203859
2;22;03909;2203909
2;22;04006;2204006
2;22;04105;2204105
2;22;04154;2204154
2;22;04204;2204204
2;22;04303;2204303
2;22;04352;2204352
2;22;04402;2204402
2;22;04501;2204501
2;22;04550;2204550
2;22;04600;2204600
2;22;04659;2204659
2;22;04709;2204709
2;22;04808;2204808
2;22;04907;2204907
2;22;05003;2205003
2;22;05102;2205102
2;22;05151;2205151
2;22;05201;2205201
2;22;05250;2205250
2;22;05276;2205276
2;22;05300;2205300
2;22;05359;2205359
2;22;05409;2205409
2;22;05458;2205458
2;22;05508;2205508
2;22;05516;2205516
2;22;05524;2205524
2;22;05532;2205532
2;22;05557;2205557
2;22;05573;2205573
2;22;05565;2205565
2;22;05581;2205581
2;22;05599;2205599
2;22;05540;2205540
2;22;05607;2205607
2;22;05706;2205706
2;22;05805;2205805
2;22;05854;2205854
2;22;05904;2205904
2;22;05953;2205953
2;22;06001;2206001
2;22;06050;2206050
2;22;06100;2206100
2;22;06209;2206209
2;22;06308;2206308
2;22;06357;2206357
2;22;06407;2206407
2;22;06506;2206506
2;22;06605;2206605
2;22;06654;2206654
2;22;06670;2206670
2;22;06696;2206696
2;22;06704;2206704
2;22;06720;2206720
2;22;06753;2206753
2;22;06803;2206803
2;22;07959;2207959
2;22;06902;2206902
2;22;06951;2206951
2;22;07009;2207009
